,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
486,,2017,2017,2037203085.0,Jamal Crawford,-0.31,-0.7,368.0,103.32,0.39,151.0,285.0
485,,2017,2017,202738203935.0,Isaiah Thomas,1.34,-2.94,485.0,103.44,4.29,3.0,86.0
486,,2017,2017,202738203935.0,Marcus Smart,1.34,-2.94,485.0,103.44,4.29,3.0,86.0
485,,2017,2017,203503203521.0,Tony Snell,-0.55,-0.47,327.0,103.29,-0.09,238.0,312.0
486,,2017,2017,203503203521.0,Matthew Dellavedova,-0.55,-0.47,327.0,103.29,-0.09,238.0,312.0
486,,2017,2017,201960202685.0,Jonas Valanciunas,-1.09,-0.54,334.0,103.28,-0.55,326.0,372.0
485,,2017,2017,201960202685.0,DeMarre Carroll,-1.09,-0.54,334.0,103.28,-0.55,326.0,372.0
486,,2017,2017,2772201976.0,Patrick Beverley,3.37,0.22,186.0,103.35,3.15,13.0,15.0
485,,2017,2017,2772201976.0,Trevor Ariza,3.37,0.22,186.0,103.35,3.15,13.0,15.0
485,,2017,2017,200768202685.0,Kyle Lowry,2.15,0.33,163.0,103.31,1.82,40.0,42.0
486,,2017,2017,200768202685.0,Jonas Valanciunas,2.15,0.33,163.0,103.31,1.82,40.0,42.0
485,,2017,2017,202355203585.0,Hassan Whiteside,0.94,-0.31,301.0,103.29,1.24,71.0,120.0
486,,2017,2017,202355203585.0,Rodney McGruder,0.94,-0.31,301.0,103.29,1.24,71.0,120.0
486,,2017,2017,2738201939.0,Andre Iguodala,4.89,0.4,154.0,103.37,4.5,1.0,3.0
485,,2017,2017,2738201939.0,Stephen Curry,4.89,0.4,154.0,103.37,4.5,1.0,3.0
485,,2017,2017,203081203459.0,Damian Lillard,-0.78,-2.12,475.0,103.36,1.35,64.0,340.0
486,,2017,2017,203081203459.0,Allen Crabbe,-0.78,-2.12,475.0,103.36,1.35,64.0,340.0
486,,2017,2017,201935201976.0,James Harden,2.86,-0.65,350.0,103.39,3.51,8.0,23.0
485,,2017,2017,201935201976.0,Patrick Beverley,2.86,-0.65,350.0,103.39,3.51,8.0,23.0
486,,2017,2017,201142203110.0,Draymond Green,3.28,1.11,72.0,103.31,2.17,29.0,16.0
485,,2017,2017,201142203110.0,Kevin Durant,3.28,1.11,72.0,103.31,2.17,29.0,16.0
485,,2017,2017,2738202691.0,Andre Iguodala,1.66,0.19,194.0,103.31,1.47,54.0,62.0
486,,2017,2017,2738202691.0,Klay Thompson,1.66,0.19,194.0,103.31,1.47,54.0,62.0
485,,2017,2017,202339203933.0,T.J. Warren,0.26,-0.91,400.0,103.33,1.17,73.0,202.0
486,,2017,2017,202339203933.0,Eric Bledsoe,0.26,-0.91,400.0,103.33,1.17,73.0,202.0
485,,2017,2017,203897203952.0,Andrew Wiggins,-1.4,-1.79,471.0,103.34,0.38,153.0,402.0
486,,2017,2017,203897203952.0,Zach LaVine,-1.4,-1.79,471.0,103.34,0.38,153.0,402.0
485,,2017,2017,2015661627734.0,Russell Westbrook,0.37,1.31,56.0,103.26,-0.94,387.0,173.0
486,,2017,2017,2015661627734.0,Domantas Sabonis,0.37,1.31,56.0,103.26,-0.94,387.0,173.0
485,,2017,2017,2749201163.0,Wilson Chandler,-0.01,-1.45,451.0,103.34,1.44,54.0,242.0
486,,2017,2017,2749201163.0,Jameer Nelson,-0.01,-1.45,451.0,103.34,1.44,54.0,242.0
485,,2017,2017,200746201980.0,Danny Green,1.92,1.56,37.0,103.24,0.36,156.0,53.0
