,player 1,1_ID,player 2,2_ID,rapm1,orapm1,drapm1,rapm2,orapm2,drapm2,rapm_pair,orapm_pair,drapm_pair,rapm_pair_test,orapm_pair_test,drapm_pair_test
17,Marcin Gortat,101162,Bradley Beal,203078,0.18,0.78,-0.6,3.81,3.26,0.55,2.44,2.08,0.36,1.65,0.41,1.24
18,Ryan Anderson,201583,James Harden,201935,2.4,1.62,0.78,1.48,3.29,-1.81,2.94,2.77,0.17,1.9,3.27,-1.37
19,Wesley Matthews,202083,Harrison Barnes,203084,0.08,0.08,-0.0,0.24,-0.36,0.6,0.49,-0.32,0.81,-3.04,-0.8,-2.24
20,Ricky Rubio,201937,Gorgui Dieng,203476,-0.2,0.32,-0.52,1.09,-0.04,1.13,0.3,-0.2,0.5,0.0,0.19,-0.19
21,JJ Redick,200755,DeAndre Jordan,201599,1.51,2.11,-0.6,2.53,1.28,1.24,2.87,1.9,0.96,0.0,-0.73,0.73
22,Andre Roberson,203460,Steven Adams,203500,2.0,0.45,1.54,0.56,0.61,-0.05,0.68,0.31,0.37,3.47,-0.02,3.49
23,Trevor Ariza,2772,Ryan Anderson,201583,0.37,1.41,-1.04,2.4,1.62,0.78,2.41,1.82,0.58,-1.04,-0.5,-0.55
24,Marcus Morris Sr.,202694,Kentavious Caldwell-Pope,203484,-0.13,-1.24,1.11,0.38,0.66,-0.28,-0.62,-0.49,-0.12,0.0,0.44,-0.44
25,Andre Drummond,203083,Kentavious Caldwell-Pope,203484,-2.7,-1.24,-1.46,0.38,0.66,-0.28,-2.73,-0.83,-1.9,0.0,-0.03,0.03
26,Robin Lopez,201577,Jimmy Butler,202710,1.53,0.65,0.88,4.39,2.11,2.28,3.4,1.54,1.86,0.0,0.18,-0.18
27,LeBron James,2544,Kyrie Irving,202681,5.06,4.5,0.57,2.15,3.77,-1.63,5.02,5.75,-0.73,0.0,-0.39,0.39
28,Thaddeus Young,201152,Jeff Teague,201952,0.08,-0.16,0.24,0.37,1.05,-0.68,-0.25,0.39,-0.64,0.0,0.33,-0.33
29,Klay Thompson,202691,Draymond Green,203110,3.35,2.14,1.21,3.82,1.43,2.39,4.68,2.36,2.32,1.79,0.73,1.06
30,John Wall,202322,Markieff Morris,202693,1.6,2.44,-0.84,0.76,-0.19,0.95,1.55,1.01,0.53,-1.01,-0.09,-0.92
31,Eric Bledsoe,202339,Devin Booker,1626164,0.65,0.83,-0.18,0.53,1.36,-0.83,1.59,2.0,-0.41,-1.23,-0.83,-0.4
32,Anthony Davis,203076,Solomon Hill,203524,1.57,-0.43,2.0,1.17,-0.09,1.26,2.46,0.03,2.43,0.13,-0.11,0.24
33,Kemba Walker,202689,Michael Kidd-Gilchrist,203077,2.48,2.88,-0.39,-1.06,-2.04,0.98,0.97,-0.08,1.05,1.47,0.87,0.6
34,Carmelo Anthony,2546,Courtney Lee,201584,-0.22,0.73,-0.95,-1.3,0.31,-1.61,-0.9,0.95,-1.86,-0.0,-0.03,0.03
35,Stephen Curry,201939,Klay Thompson,202691,6.34,5.4,0.94,3.35,2.14,1.21,6.23,5.07,1.16,3.81,4.36,-0.55
36,Markieff Morris,202693,Bradley Beal,203078,0.76,-0.19,0.95,3.81,3.26,0.55,2.88,2.24,0.64,0.39,0.51,-0.12
37,Kyrie Irving,202681,Tristan Thompson,202684,2.15,3.77,-1.63,-1.17,-0.98,-0.18,0.38,1.93,-1.55,0.0,-0.5,0.5
38,Jrue Holiday,201950,Anthony Davis,203076,0.98,-0.78,1.76,1.57,-0.43,2.0,2.04,-0.49,2.53,3.84,1.39,2.45
39,DeAndre Jordan,201599,Blake Griffin,201933,2.53,1.28,1.24,2.2,2.23,-0.03,3.46,2.42,1.04,0.86,1.11,-0.24
40,Marvin Williams,101107,Kemba Walker,202689,-0.96,-0.31,-0.65,2.48,2.88,-0.39,0.93,1.51,-0.58,0.79,0.71,0.08
