,Unnamed: 0,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
50,82,540.0,2018,2018,203503 203507,Giannis Antetokounmpo,1.12,0.15,221.0,104.31,0.97,88.0,105.0
52,84,540.0,2018,2018,203081 203090,Maurice Harkless,0.97,0.13,225.0,104.3,0.84,95.0,118.0
54,88,541.0,2018,2018,203081 203468,CJ McCollum,2.99,0.45,164.0,104.33,2.54,16.0,23.0
56,92,540.0,2018,2018,201609 202355,Hassan Whiteside,0.27,0.99,82.0,104.27,-0.72,421.0,202.0
58,94,540.0,2018,2018,201152 1626167,Thaddeus Young,2.03,0.65,132.0,104.28,1.38,56.0,49.0
60,98,540.0,2018,2018,202696 203901,Elfrid Payton,-0.52,-1.52,509.0,104.34,1.0,86.0,364.0
62,110,540.0,2018,2018,101107 201587,Nicolas Batum,-1.13,-0.37,357.0,104.3,-0.75,423.0,428.0
64,112,540.0,2018,2018,101162 202693,Marcin Gortat,-0.29,0.49,155.0,104.29,-0.78,426.0,324.0
66,114,540.0,2018,2018,203090 203468,Maurice Harkless,-0.94,-0.3,342.0,104.29,-0.63,408.0,409.0
68,118,540.0,2018,2018,202693 203490,Otto Porter Jr.,1.77,-0.32,343.0,104.31,2.08,20.0,61.0
70,120,540.0,2018,2018,2544 202684,LeBron James,-0.46,-1.64,513.0,104.37,1.18,68.0,354.0
72,126,540.0,2018,2018,201942 202685,Jonas Valanciunas,1.57,-0.71,429.0,104.35,2.28,18.0,75.0
74,128,540.0,2018,2018,203903 1627742,Jordan Clarkson,-0.15,0.86,97.0,104.24,-1.01,460.0,294.0
76,130,540.0,2018,2018,201587 203077,Michael Kidd-Gilchrist,-0.14,-0.39,363.0,104.29,0.25,189.0,293.0
78,134,540.0,2018,2018,203933 1626164,T.J. Warren,-0.74,-1.12,490.0,104.32,0.39,163.0,388.0
80,138,540.0,2018,2018,203095 203901,Evan Fournier,-0.23,-1.31,500.0,104.35,1.08,75.0,315.0
82,140,541.0,2018,2018,201142 202691,Klay Thompson,1.31,-1.32,501.0,104.39,2.63,15.0,95.0
84,146,541.0,2018,2018,201142 201939,Stephen Curry,3.61,-2.15,529.0,104.46,5.76,1.0,8.0
86,148,540.0,2018,2018,203901 203932,Elfrid Payton,-0.9,-1.11,483.0,104.32,0.21,195.0,403.0
88,152,541.0,2018,2018,201569 201935,Eric Gordon,4.38,0.6,140.0,104.39,3.78,4.0,6.0
90,154,540.0,2018,2018,203095 203932,Evan Fournier,0.69,-0.29,342.0,104.3,0.98,87.0,152.0
92,160,540.0,2018,2018,203145 203471,Kent Bazemore,0.4,-0.66,417.0,104.3,1.06,78.0,189.0
94,162,540.0,2018,2018,202699 203083,Tobias Harris,-0.54,-1.07,478.0,104.33,0.53,142.0,365.0
96,164,540.0,2018,2018,202696 203095,Evan Fournier,1.92,0.01,267.0,104.32,1.9,27.0,57.0
98,168,540.0,2018,2018,201949 204020,Tyler Johnson,-0.16,0.21,207.0,104.28,-0.37,349.0,299.0
100,172,540.0,2018,2018,1626164 1627737,Devin Booker,1.56,0.59,140.0,104.3,0.97,88.0,76.0
102,176,541.0,2018,2018,2544 201567,Kevin Love,2.34,-1.41,508.0,104.42,3.75,2.0,39.0
104,182,540.0,2018,2018,101107 203077,Michael Kidd-Gilchrist,-0.11,0.86,98.0,104.28,-0.97,457.0,286.0
